mem_mib,k,rep,call_idx,call_time_ms
64,10,20,6,71.481098
64,10,20,7,72.157218
64,10,20,8,71.989588
64,10,20,9,72.408006
64,10,20,10,71.873335
64,10,21,1,72.811146
64,10,21,2,73.479979
64,10,21,3,72.112292
64,10,21,4,72.092381
64,10,21,5,71.705519
64,10,21,6,71.683816
64,10,21,7,73.616277
64,10,21,8,72.618245
64,10,21,9,82.302916
64,10,21,10,71.974651
64,10,22,1,71.516467
64,10,22,2,72.876813
64,10,22,3,70.499325
64,10,22,4,71.605669
64,10,22,5,71.795009
64,10,22,6,70.028818
64,10,22,7,71.956061
64,10,22,8,72.831963
64,10,22,9,72.653631
64,10,22,10,72.759001
64,10,23,1,72.762347
64,10,23,2,72.362538
64,10,23,3,71.751114
64,10,23,4,71.805778
64,10,23,5,76.320492
64,10,23,6,91.311880
64,10,23,7,74.415399
64,10,23,8,71.111111
64,10,23,9,70.459137
64,10,23,10,72.603988
64,10,24,1,72.102766
64,10,24,2,71.295692
64,10,24,3,72.376363
64,10,24,4,74.023112
64,10,24,5,90.228224
64,10,24,6,71.222869
64,10,24,7,70.666115
64,10,24,8,71.921579
64,10,24,9,72.116944
64,10,24,10,71.864629
64,10,25,1,72.498486
64,10,25,2,72.622054
64,10,25,3,71.161256
64,10,25,4,70.917616
64,10,25,5,72.452021
64,10,25,6,72.178798
64,10,25,7,71.194543
64,10,25,8,72.534503
64,10,25,9,72.539218
64,10,25,10,70.508992
64,10,26,1,71.937700
64,10,26,2,71.577728
64,10,26,3,75.729859
64,10,26,4,71.381375
64,10,26,5,71.237498
64,10,26,6,70.817791
64,10,26,7,70.632281
64,10,26,8,72.588566
64,10,26,9,72.315110
64,10,26,10,69.037333
64,10,27,1,72.512299
64,10,27,2,71.448025
64,10,27,3,75.751270
64,10,27,4,73.223980
64,10,27,5,71.337050
64,10,27,6,71.355374
64,10,27,7,71.101998
64,10,27,8,69.746607
64,10,27,9,72.374957
64,10,27,10,69.889567
64,10,28,1,70.720950
64,10,28,2,75.330098
64,10,28,3,71.143132
64,10,28,4,70.970142
64,10,28,5,71.282207
64,10,28,6,71.547893
64,10,28,7,72.085715
64,10,28,8,70.630023
64,10,28,9,73.735623
64,10,28,10,70.497825
64,10,29,1,71.390234
64,10,29,2,72.934009
64,10,29,3,72.683273
64,10,29,4,71.837504
64,10,29,5,71.150037
64,10,29,6,70.194780
64,10,29,7,71.487761
64,10,29,8,71.110560
64,10,29,9,69.881557
64,10,29,10,72.048659
64,10,30,1,71.721471
64,10,30,2,71.536154
64,10,30,3,70.551543
64,10,30,4,71.645287
64,10,30,5,71.223633
64,10,30,6,71.814935
64,10,30,7,72.486098
64,10,30,8,71.962857
64,10,30,9,70.910618
64,10,30,10,72.552789
64,10,31,1,71.898482
64,10,31,2,71.955125
64,10,31,3,71.938929
64,10,31,4,70.559950
64,10,31,5,72.703566
64,10,31,6,71.244808
64,10,31,7,70.474826
64,10,31,8,70.578018
64,10,31,9,72.928492
64,10,31,10,70.574459
64,10,32,1,72.026283
64,10,32,2,70.872607
64,10,32,3,70.626625
64,10,32,4,69.740018
64,10,32,5,69.991946
64,10,32,6,72.688614
64,10,32,7,70.378385
64,10,32,8,71.732039
64,10,32,9,70.865329
64,10,32,10,71.572826
64,10,33,1,72.390973
64,10,33,2,70.917015
64,10,33,3,71.363222
64,10,33,4,71.431990
64,10,33,5,72.292369
64,10,33,6,71.042515
64,10,33,7,72.803114
64,10,33,8,71.103040
64,10,33,9,71.704120
64,10,33,10,71.541834
64,10,34,1,72.204757
64,10,34,2,72.647637
64,10,34,3,75.945884
64,10,34,4,71.021291
64,10,34,5,71.383550
64,10,34,6,71.387645
64,10,34,7,73.542571
64,10,34,8,71.850355
64,10,34,9,70.994800
64,10,34,10,71.799071
64,10,35,1,72.236668
64,10,35,2,72.667860
64,10,35,3,70.386288
64,10,35,4,70.585661
64,10,35,5,71.377546
64,10,35,6,71.637744
64,10,35,7,70.106814
64,10,35,8,72.604311
64,10,35,9,71.721229
64,10,35,10,71.587142
64,10,36,1,72.900628
64,10,36,2,70.816455
64,10,36,3,70.529420
64,10,36,4,72.553892
64,10,36,5,70.969413
64,10,36,6,69.881987
64,10,36,7,71.243380
64,10,36,8,72.720748
64,10,36,9,71.066544
64,10,36,10,71.023802
64,10,37,1,72.748948
64,10,37,2,71.767591
64,10,37,3,71.081683
64,10,37,4,71.753704
64,10,37,5,70.980796
64,10,37,6,71.761990
64,10,37,7,69.752137
64,10,37,8,71.470523
64,10,37,9,71.911429
64,10,37,10,71.615334
64,10,38,1,72.971533
64,10,38,2,72.667223
64,10,38,3,71.504932
64,10,38,4,73.468519
64,10,38,5,71.805472
64,10,38,6,79.886002
64,10,38,7,71.777469
64,10,38,8,71.820658
64,10,38,9,71.068536
64,10,38,10,71.512611
64,10,39,1,71.310574
64,10,39,2,70.985931
64,10,39,3,71.482968
64,10,39,4,73.274893
64,10,39,5,70.526911
64,10,39,6,71.892381
64,10,39,7,72.836974
64,10,39,8,71.140088
64,10,39,9,70.637809
64,10,39,10,71.500783
64,10,40,1,71.025219
64,10,40,2,71.505433
64,10,40,3,71.303619
64,10,40,4,70.323661
64,10,40,5,73.076305
64,10,40,6,70.890249
64,10,40,7,71.975910
64,10,40,8,71.766537
64,10,40,9,70.919258
64,10,40,10,71.913174
64,10,41,1,69.963726
64,10,41,2,71.352936
64,10,41,3,75.056255
64,10,41,4,70.059714
64,10,41,5,71.738457
64,10,41,6,76.804711
64,10,41,7,71.719053
64,10,41,8,71.374685
64,10,41,9,71.486505
64,10,41,10,72.012653
64,10,42,1,73.111443
64,10,42,2,70.090971
64,10,42,3,70.745392
64,10,42,4,70.867884
64,10,42,5,69.008341
64,10,42,6,71.097971
64,10,42,7,70.243491
64,10,42,8,71.199496
64,10,42,9,71.452722
64,10,42,10,71.407093
64,10,43,1,73.047948
64,10,43,2,72.159560
64,10,43,3,73.087750
64,10,43,4,70.748485
64,10,43,5,71.869422
64,10,43,6,70.151681
64,10,43,7,71.799343
64,10,43,8,71.659410
64,10,43,9,71.322410
64,10,43,10,70.318564
64,10,44,1,72.099136
64,10,44,2,71.054817
64,10,44,3,71.585902
64,10,44,4,71.345003
64,10,44,5,70.493291
64,10,44,6,72.639482
64,10,44,7,70.764762
64,10,44,8,72.681505
64,10,44,9,71.268226
64,10,44,10,70.703660
64,10,45,1,71.549826
64,10,45,2,71.619806
64,10,45,3,71.031884
64,10,45,4,70.955993
64,10,45,5,70.407781
64,10,45,6,72.878320
64,10,45,7,71.948464
64,10,45,8,75.910583
64,10,45,9,70.815703
64,10,45,10,71.628512
64,10,46,1,71.037963
64,10,46,2,71.626923
64,10,46,3,70.827315
64,10,46,4,72.561093
64,10,46,5,70.944510
64,10,46,6,71.578651
64,10,46,7,70.255799
64,10,46,8,71.243561
64,10,46,9,70.141054
64,10,46,10,71.680759
64,10,47,1,71.862515
64,10,47,2,71.858481
64,10,47,3,73.470345
64,10,47,4,71.532108
64,10,47,5,71.014224
64,10,47,6,71.407477
64,10,47,7,70.393271
64,10,47,8,73.294940
64,10,47,9,71.931679
64,10,47,10,72.007777
64,10,48,1,71.509712
64,10,48,2,83.156885
64,10,48,3,73.515005
64,10,48,4,72.312367
64,10,48,5,73.307020
64,10,48,6,73.477638
64,10,48,7,85.580319
64,10,48,8,71.988349
64,10,48,9,71.620845
64,10,48,10,71.274076
64,10,49,1,72.045023
64,10,49,2,71.326201
64,10,49,3,72.457439
64,10,49,4,71.422382
64,10,49,5,71.881387
64,10,49,6,71.964410
64,10,49,7,71.323311
64,10,49,8,74.769376
64,10,49,9,88.065922
64,10,49,10,71.209993
64,10,50,1,71.589364
64,10,50,2,72.804114
64,10,50,3,72.482666
64,10,50,4,70.013391
64,10,50,5,71.831656
64,10,50,6,71.421902
64,10,50,7,72.637772
64,10,50,8,71.329238
64,10,50,9,73.045938
64,10,50,10,74.132175
64,30,1,1,74.537153
64,30,1,2,72.316606
64,30,1,3,72.113258
64,30,1,4,72.077589
64,30,1,5,71.406984
64,30,1,6,71.075059
64,30,1,7,70.908860
64,30,1,8,72.571270
64,30,1,9,71.466842
64,30,1,10,71.187438
64,30,1,11,71.338633
64,30,1,12,71.662518
64,30,1,13,73.683246
64,30,1,14,74.774148
64,30,1,15,72.693359
64,30,1,16,71.090564
64,30,1,17,71.936874
64,30,1,18,71.905195
64,30,1,19,72.750060
64,30,1,20,71.755349
64,30,1,21,71.069977
64,30,1,22,70.121639
64,30,1,23,73.636570
64,30,1,24,72.459149
64,30,1,25,73.535224
64,30,1,26,74.300308
64,30,1,27,72.792859
64,30,1,28,71.602027
64,30,1,29,71.870692
64,30,1,30,71.237168
64,30,2,1,72.198704
64,30,2,2,72.772022
64,30,2,3,75.039580
64,30,2,4,73.062382
64,30,2,5,71.268740
64,30,2,6,72.111347
64,30,2,7,71.381361
64,30,2,8,72.312797
64,30,2,9,73.099061
64,30,2,10,72.884557
64,30,2,11,72.446108
64,30,2,12,72.864884
64,30,2,13,69.834745
64,30,2,14,71.782430
64,30,2,15,72.200062
64,30,2,16,71.281951
64,30,2,17,72.340346
64,30,2,18,72.314241
64,30,2,19,71.559520
64,30,2,20,71.567134
64,30,2,21,74.384683
64,30,2,22,74.024693
64,30,2,23,72.484832
64,30,2,24,71.495310
64,30,2,25,71.573571
64,30,2,26,71.655698
64,30,2,27,72.255326
64,30,2,28,71.825578
64,30,2,29,71.523325
64,30,2,30,70.981761
64,30,3,1,71.909794
64,30,3,2,71.183176
64,30,3,3,72.736008
64,30,3,4,73.288951
64,30,3,5,91.278394
64,30,3,6,73.438700
64,30,3,7,70.996240
64,30,3,8,70.464669
64,30,3,9,73.516881
64,30,3,10,72.171591
64,30,3,11,72.364264
64,30,3,12,72.110230
64,30,3,13,71.667785
64,30,3,14,72.401179
64,30,3,15,73.940481
64,30,3,16,72.725216
64,30,3,17,73.390730
64,30,3,18,78.869954
64,30,3,19,71.270707
64,30,3,20,71.119371
64,30,3,21,72.380542
64,30,3,22,71.279735
