k,rep,call_idx,call_time_ms
10,45,9,1223.237661
10,45,10,1212.517874
10,46,1,1222.188495
10,46,2,1207.452014
10,46,3,1215.999300
10,46,4,1208.501596
10,46,5,1207.811711
10,46,6,1208.096014
10,46,7,1203.374750
10,46,8,1218.398115
10,46,9,1208.418722
10,46,10,1209.505893
10,47,1,1222.633620
10,47,2,1220.982217
10,47,3,1208.521062
10,47,4,1381.244454
10,47,5,1202.529959
10,47,6,1220.718700
10,47,7,1207.423801
10,47,8,1210.654536
10,47,9,1209.022788
10,47,10,1208.142939
10,48,1,1211.483816
10,48,2,1211.194072
10,48,3,1208.759849
10,48,4,1203.133274
10,48,5,1223.827899
10,48,6,1211.461239
10,48,7,1222.578811
10,48,8,1202.324278
10,48,9,1218.720514
10,48,10,1209.381919
10,49,1,1223.769092
10,49,2,1208.809749
10,49,3,1206.185407
10,49,4,1382.566223
10,49,5,1207.953133
10,49,6,1219.379001
10,49,7,1203.772411
10,49,8,1208.096229
10,49,9,1213.526982
10,49,10,1205.331509
10,50,1,1372.630851
10,50,2,1208.606951
10,50,3,1210.806334
10,50,4,1251.616423
10,50,5,1205.100700
10,50,6,1230.936505
10,50,7,1221.884872
10,50,8,1205.277689
10,50,9,1207.182029
10,50,10,1209.331720
30,1,1,1218.535655
30,1,2,1207.307470
30,1,3,1203.089071
30,1,4,1205.760726
30,1,5,1223.135866
30,1,6,1222.570761
30,1,7,1219.844306
30,1,8,1210.016426
30,1,9,1207.815861
30,1,10,1227.400292
30,1,11,1208.492894
30,1,12,1209.939205
30,1,13,1209.788175
30,1,14,1204.924973
30,1,15,1208.711219
30,1,16,1212.186977
30,1,17,1230.673049
30,1,18,1215.512655
30,1,19,1213.247897
30,1,20,1206.928474
30,1,21,1238.156654
30,1,22,1224.783765
30,1,23,1208.594527
30,1,24,1211.230303
30,1,25,1210.159425
30,1,26,1210.169828
30,1,27,1204.428553
30,1,28,1205.957500
30,1,29,1205.130935
30,1,30,1206.437579
30,2,1,1203.152000
30,2,2,1204.899665
30,2,3,1229.868130
30,2,4,1208.998937
30,2,5,1208.665777
30,2,6,1217.639736
30,2,7,1204.223291
30,2,8,1228.935353
30,2,9,1225.872134
30,2,10,1206.855742
30,2,11,1205.329769
30,2,12,1204.656828
30,2,13,1219.029905
30,2,14,1218.125189
30,2,15,1222.485671
30,2,16,1222.897715
30,2,17,1228.785817
30,2,18,1216.984591
30,2,19,1210.861122
30,2,20,1203.211188
30,2,21,1209.745233
30,2,22,1203.696979
30,2,23,1206.627131
30,2,24,1200.860032
30,2,25,1227.266208
